"";"рейс";"расписание";"ожидаемое время";"статус";"Авиакомпания";"Номер рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"345";"N4 524 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-27 15:10:00;" ";"ожидается";" Nordwind Airlines";"N4 524";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"355";"SU 6832 Симферополь — Ростов-на-ДонуAirbus A319";2018-05-27 15:25:00;" ";"ожидается";" Россия";"SU 6832";"Ростов-на-Дону";"Airbus A319";"39.7022756";"47.2249135";8
"365";"SU 1623 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-27 15:35:00;" ";"ожидается";" Аэрофлот";"SU 1623";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"375";"SU 6884 Симферополь — Санкт-ПетербургAirbus A319";2018-05-27 15:55:00;" ";"ожидается";" Россия";"SU 6884";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"385";"U6 522 Симферополь — Москва (Домодедово)Airbus А321";2018-05-27 16:40:00;" ";"ожидается";" Уральские авиалинии";"U6 522";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"395";"S7 166 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-27 17:00:00;" ";"ожидается";" S7 Airlines";"S7 166";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"405";"SU 1629 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-27 17:10:00;" ";"ожидается";" Аэрофлот";"SU 1629";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"415";"N4 108 Симферополь — УфаAirbus А321";2018-05-27 18:15:00;" ";"ожидается";" Nordwind Airlines";"N4 108";"Уфа";"Airbus А321";"55.947727";"54.726288";4
"425";"SU 1625 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-27 18:45:00;" ";"ожидается";" Аэрофлот";"SU 1625";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"435";"N4 134 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-27 19:45:00;" ";"ожидается";" Nordwind Airlines";"N4 134";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"445";"5N 6308 Симферополь — Москва (Домодедово)Airbus А320";2018-05-27 20:15:00;" ";"ожидается";" Нордавиа";"5N 6308";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"455";"WZ 308 Симферополь — Москва (Домодедово)Airbus А320";2018-05-27 20:15:00;" ";"ожидается";" Red Wings";"WZ 308";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"465";"U6 2842 Симферополь — Москва (Домодедово)Airbus А321";2018-05-27 20:35:00;" ";"ожидается";" Уральские авиалинии";"U6 2842";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"475";"SU 1659 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-27 21:00:00;" ";"ожидается";" Аэрофлот";"SU 1659";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"484";"SU 6854 Симферополь — ТюменьBoeing 737-800";2018-05-27 21:35:00;" ";"ожидается";" Россия";"SU 6854";"Тюмень";"Boeing 737-800";"65.542274";"57.153534";2
"493";"S7 162 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-27 21:45:00;" ";"ожидается";" S7 Airlines";"S7 162";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"503";"SU 6886 Симферополь — Санкт-ПетербургBoeing 777-300ER";2018-05-27 22:15:00;" ";"ожидается";" Россия";"SU 6886";"Санкт-Петербург";"Boeing 777-300ER";"30.316229";"59.938732";44
"513";"SU 6856 Симферополь — ПермьBoeing 737-800";2018-05-27 23:30:00;" ";"ожидается";" Россия";"SU 6856";"Пермь";"Boeing 737-800";"56.246723";"58.014965";2
"522";"S7 266 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-27 23:55:00;" ";"ожидается";" S7 Airlines";"S7 266";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"86";"SU 1627 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-28 02:25:00;" ";"ожидается";" Аэрофлот";"SU 1627";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"96";"N4 634 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-28 03:30:00;" ";"ожидается";" Nordwind Airlines";"N4 634";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"106";"U6 530 Симферополь — Ростов-на-ДонуAirbus A319";2018-05-28 03:40:00;" ";"ожидается";" Уральские авиалинии";"U6 530";"Ростов-на-Дону";"Airbus A319";"39.7022756";"47.2249135";8
"116";"SU 6898 Симферополь — Санкт-ПетербургAirbus A319";2018-05-28 07:05:00;" ";"ожидается";" Россия";"SU 6898";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"126";"SU 6152 Симферополь — Москва (Внуково)Boeing 737-800";2018-05-28 08:15:00;" ";"ожидается";" Россия";"SU 6152";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"136";"SU 6862 Симферополь — ВолгоградBoeing 737-800";2018-05-28 08:20:00;" ";"ожидается";" Россия";"SU 6862";"Волгоград";"Boeing 737-800";"44.516804";"48.710678";2
"146";"S7 264 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-28 08:40:00;" ";"ожидается";" S7 Airlines";"S7 264";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"156";"N4 124 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-28 09:20:00;" ";"ожидается";" Nordwind Airlines";"N4 124";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"166";"SU 2801 Симферополь — СочиСухой Суперджет 100";2018-05-28 09:30:00;" ";"ожидается";" Аэрофлот";"SU 2801";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";7
"176";"S7 268 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-28 09:35:00;" ";"ожидается";" S7 Airlines";"S7 268";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"186";"U6 526 Симферополь — Москва (Домодедово)Airbus А321";2018-05-28 09:40:00;" ";"ожидается";" Уральские авиалинии";"U6 526";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"196";"SU 1637 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-28 09:50:00;" ";"ожидается";" Аэрофлот";"SU 1637";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"206";"S7 270 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-28 10:05:00;" ";"ожидается";" S7 Airlines";"S7 270";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"216";"SU 6150 Симферополь — Москва (Внуково)Boeing 777-300";2018-05-28 10:15:00;" ";"ожидается";" Россия";"SU 6150";"Москва";"Boeing 777-300";"37.6176606";"55.7507178";205
"226";"SU 1645 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-28 10:50:00;" ";"ожидается";" Аэрофлот";"SU 1645";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"236";"SU 6892 Симферополь — Санкт-ПетербургAirbus A319";2018-05-28 11:20:00;" ";"ожидается";" Россия";"SU 6892";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"246";"RT 532 Симферополь — КазаньBombardier CRJ200";2018-05-28 11:55:00;" ";"ожидается";" ЮВТ Аэро";"RT 532";"Казань";"Bombardier CRJ200";"49.1242266";"55.7823547";3
"256";"U6 440 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-28 12:05:00;" ";"ожидается";" Уральские авиалинии";"U6 440";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"266";"S7 164 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-28 12:20:00;" ";"ожидается";" S7 Airlines";"S7 164";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"276";"S7 3328 Симферополь — НовосибирскBoeing 737-800";2018-05-28 12:40:00;" ";"ожидается";" S7 Airlines";"S7 3328";"Новосибирск";"Boeing 737-800";"82.9234509";"55.0282171";8
"286";"SU 1621 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-28 12:55:00;" ";"ожидается";" Аэрофлот";"SU 1621";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
